league,name,position,team,description,line_score,stat_type,flash_sale_line_score,is_promo,start_time,updated_at
SOCCER,Alex Iwobi,M,Everton,Wolverhampton,2,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Idrissa Gueye,M,Everton,Wolverhampton,2.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Amadou Onana,M,Everton,Wolverhampton,2.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:25:15-05:00
SOCCER,James Tarkowski,D,Everton,Wolverhampton,1,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:50:24-05:00
SOCCER,Nathan Patterson,D,Everton,Wolverhampton,3,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:01:46-05:00
SOCCER,Vitaliy Mykolenko,D,Everton,Wolverhampton,1.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:25:15-05:00
SOCCER,João Moutinho,M,Wolverhampton,Everton,2,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:32:18-05:00
SOCCER,Rúben Neves,M,Wolverhampton,Everton,3,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:01:46-05:00
SOCCER,Nathan Collins,D,Wolverhampton,Everton,1,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Demarai Gray,M,Everton,Wolverhampton,0.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:05:52-05:00
SOCCER,Anthony Gordon,M,Everton,Wolverhampton,0.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:05:52-05:00
SOCCER,Alex Iwobi,M,Everton,Wolverhampton,1,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:05:52-05:00
